iter	RMSE
0	12.89680886
1	12.18033423
2	11.59140746
3	11.0032521
4	10.53660082
5	9.91829666
6	9.420598354
7	9.019515314
8	8.653052178
9	8.255925251
10	8.000781915
11	7.798958601
12	7.54399007
13	7.390211305
14	7.051330126
15	6.867265547
16	6.516594534
17	6.364564848
18	6.218643986
19	5.89191859
20	5.609962268
21	5.343533557
22	5.121948812
23	5.0232623
24	4.957995045
25	4.871574434
26	4.817227177
27	4.766882019
28	4.698937317
29	4.658880852
30	4.57776655
31	4.526938927
32	4.50317969
33	4.448141542
34	4.329372972
35	4.305446685
36	4.276728024
37	4.256282354
38	4.208945285
39	4.157827935
40	4.140106516
41	4.045246729
42	4.022609771
43	3.961025338
44	3.953398307
45	3.933320678
46	3.90332697
47	3.892304603
48	3.819715119
49	3.813856598
50	3.769490556
51	3.762933588
52	3.646966853
53	3.569369935
54	3.567011403
55	3.563513981
56	3.518868894
57	3.488860348
58	3.449621892
59	3.417946385
60	3.3977445
61	3.257321872
62	3.228780212
63	3.109572172
64	3.049920234
65	3.035364969
66	3.031744364
67	2.952107435
68	2.929903161
69	2.927678548
70	2.869997279
71	2.848660479
72	2.847596755
73	2.839379043
74	2.814908161
75	2.745365064
76	2.727927328
77	2.695183972
78	2.675624124
79	2.664429797
80	2.651321174
81	2.642698643
82	2.640675592
83	2.607818183
84	2.562677087
85	2.560628251
86	2.55884706
87	2.536307095
88	2.527331994
89	2.523212506
90	2.522342118
91	2.520071173
92	2.513532072
93	2.421336436
94	2.355752575
95	2.344881697
96	2.344798183
97	2.296368426
98	2.244477937
99	2.237047679
100	2.216766165
101	2.211407407
102	2.202495725
103	2.195858896
104	2.195857189
105	2.195855402
106	2.168942225
107	2.131828826
108	2.125821588
109	2.125750982
110	2.125748742
111	2.083730018
112	2.077737646
113	2.077612041
114	2.077597169
115	2.077595095
116	2.075624738
117	2.07424241
118	2.074021097
119	2.069933586
120	2.069848435
121	2.069847574
122	2.069841666
123	2.068545218
124	2.065503067
125	2.062752164
126	2.062395901
127	2.023000102
128	2.022996547
129	2.022951818
130	2.022947609
131	2.022498111
132	2.010848733
133	1.974558015
134	1.974555198
135	1.974509589
136	1.966813085
137	1.918605388
138	1.915468229
139	1.912845474
140	1.905436475
141	1.903684038
142	1.860180766
143	1.854668056
144	1.829583994
145	1.801575425
146	1.788220836
147	1.788178584
148	1.777457881
149	1.775583385
150	1.772321596
151	1.764129586
152	1.758730042
153	1.758676494
154	1.756282632
155	1.739784447
156	1.735307356
157	1.735305971
158	1.733945053
159	1.73390198
160	1.733859671
161	1.701188418
162	1.69477987
163	1.684929836
164	1.68492765
165	1.669243005
166	1.66213485
167	1.658335307
168	1.6533788
169	1.641424821
170	1.637351873
171	1.629839758
172	1.624313034
173	1.622286921
174	1.622281095
175	1.621022211
176	1.621018001
177	1.620956751
178	1.605307629
179	1.60323873
180	1.598159138
181	1.596397939
182	1.587658816
183	1.586101734
184	1.572708088
185	1.571439978
186	1.568059569
187	1.568016425
188	1.563884779
189	1.558624453
190	1.558594708
191	1.555090873
192	1.551871466
193	1.550866668
194	1.550821881
195	1.546782495
196	1.539071418
197	1.538036848
198	1.538008101
199	1.534831804
200	1.534806813
201	1.532874731
202	1.531065743
203	1.531063508
204	1.52703305
205	1.525102136
206	1.52276141
207	1.52275843
208	1.518876295
209	1.505134999
210	1.505109628
211	1.505072557
212	1.501919186
213	1.501715024
214	1.501089849
215	1.50038533
216	1.500362631
217	1.496861753
218	1.495536304
219	1.492985081
220	1.49269023
221	1.492054939
222	1.491694564
223	1.488363066
224	1.48523633
225	1.48192517
226	1.481068424
227	1.478791002
228	1.47819828
229	1.476002826
230	1.457905776
231	1.456834429
232	1.454575699
233	1.454426332
234	1.453558648
235	1.451459485
236	1.449928749
237	1.447349655
238	1.43605403
239	1.433869239
240	1.4219934
241	1.421361971
242	1.420617119
243	1.419598068
244	1.403000647
245	1.401100795
246	1.398391395
247	1.39721011
248	1.388383452
249	1.37678725
250	1.3762839
251	1.374807949
252	1.370365615
253	1.369334369
254	1.367968272
255	1.367630558
256	1.365672791
257	1.365592173
258	1.362149435
259	1.36114812
260	1.360389424
261	1.358616836
262	1.358242046
263	1.357003023
264	1.355419779
265	1.347504176
266	1.345222061
267	1.344859883
268	1.343284951
269	1.336295111
270	1.335660706
271	1.328372415
272	1.325907723
273	1.324667524
274	1.317710921
275	1.316800506
276	1.314883046
277	1.306085597
278	1.304641771
279	1.302028564
280	1.296859153
281	1.295575435
282	1.292710352
283	1.291747735
284	1.291228851
285	1.290891478
286	1.288673121
287	1.286553828
