iter	Passed	Remaining
0	1100	1099329
1	2089	1042721
2	2831	940873
3	3417	850963
4	4222	840216
5	5007	829577
6	5764	817745
7	6564	814013
8	7149	787200
9	8022	794225
10	8764	787994
11	9442	777417
12	10006	759689
13	10584	745442
14	11117	730028
15	11907	732287
16	12778	738899
17	13469	734834
18	14051	725489
19	14568	713842
20	15157	706645
21	15648	695631
22	16100	683928
23	16647	677009
24	17173	669776
25	17786	666313
26	18354	661458
27	18894	655923
28	19323	646997
29	19839	641491
30	20355	636286
31	20890	631929
32	21466	629028
33	22033	626005
34	22544	621592
35	23043	617047
36	23546	612841
37	24058	609051
38	24611	606446
39	25125	603009
40	25614	599128
41	26167	596868
42	26699	594223
43	27167	590284
44	27678	587404
45	28199	584837
46	28694	581821
47	29245	580033
48	29793	578234
49	30246	574682
50	30783	572816
51	31359	571699
52	31892	569859
53	32377	567214
54	32842	564292
55	33361	562377
56	33859	560173
57	34441	559371
58	34985	557994
59	35553	557008
60	36065	555167
61	36588	553555
62	37179	552969
63	37694	551286
64	38217	549740
65	38757	548470
66	39301	547284
67	39807	545600
68	40334	544226
69	40885	543190
70	41449	542349
71	42002	541360
72	42519	539933
73	43006	538161
74	43367	534869
75	43848	533102
76	44400	532228
77	44914	530916
78	45641	532097
79	46254	531932
80	46862	531684
81	47379	530415
82	47865	528828
83	48382	527601
84	48883	526218
85	49411	525136
86	49918	523855
87	50390	522225
88	50964	521671
89	51611	521848
90	52120	520627
91	52648	519618
92	53192	518773
93	53719	517766
94	54292	517207
95	54749	515554
96	55178	513670
97	55736	512999
98	56274	512157
99	56871	511847
100	58032	516545
101	58637	516244
102	59220	515731
103	59819	515364
104	60290	513907
105	60607	511158
106	61220	510930
107	61816	510559
108	62404	510115
109	62881	508769
110	63292	506908
111	63867	506375
112	64379	505354
113	64913	504501
114	65437	503583
115	65976	502788
116	66588	502543
117	67217	502419
118	67706	501256
119	68307	500920
120	68775	499615
121	68986	496478
122	69258	493819
123	69946	494140
124	70620	494344
125	71371	495067
126	72069	495404
127	73176	498515
128	73828	498486
129	74456	498284
130	74770	495997
131	75260	494894
132	75793	494083
133	76322	493247
134	76638	491055
135	77315	491182
136	78173	492436
137	78735	491808
138	79313	491288
139	79925	490972
140	80440	490061
141	80984	489329
142	81408	487880
143	81855	486583
144	82373	485720
145	83149	486368
146	83861	486626
147	84398	485860
148	85037	485681
149	85680	485522
150	86172	484507
151	86704	483722
152	87349	483561
153	87871	482724
154	88474	482328
155	89011	481573
156	89597	481087
157	90080	480051
158	90552	478958
159	91078	478160
160	91543	477050
161	91973	475763
162	92492	474945
163	93047	474315
164	93438	472853
165	93868	471605
166	94428	471013
167	94988	470420
168	95590	470033
169	96100	469197
170	96658	468594
171	97105	467463
172	97574	466439
173	98085	465626
174	98541	464550
175	99075	463854
176	99450	462418
177	99915	461407
178	100412	460552
179	100916	459730
180	101488	459222
181	102010	458488
182	102552	457841
183	103037	456948
184	103508	455996
185	103979	455051
186	104486	454263
187	104967	453371
188	105553	452928
189	106104	452338
190	106601	451520
191	107121	450803
192	108427	453372
193	109471	454812
194	110150	454723
195	111097	455727
196	111999	456526
197	112614	456144
198	113262	455895
199	113835	455341
200	114300	454359
201	114856	453739
202	115434	453206
203	115885	452179
204	116413	451459
205	116993	450936
206	117798	451277
207	118357	450669
208	119097	450747
209	119745	450469
210	120375	450124
211	121043	449917
212	121869	450286
213	122642	450454
214	123136	449591
215	123680	448914
216	124134	447912
217	124644	447120
218	125160	446348
219	125693	445642
220	126217	444903
221	126815	444425
222	127389	443863
223	127915	443135
224	128458	442468
225	129003	441809
226	129494	440965
227	129934	439952
228	130368	438924
229	130865	438115
230	131411	437468
231	131785	436255
232	132324	435592
233	132794	434704
234	133297	433925
235	133814	433197
236	134308	432394
237	134779	431519
238	135308	430836
239	135869	430254
240	136337	429377
241	136883	428750
242	137396	428022
243	137929	427354
244	138451	426655
245	139011	426077
246	139523	425350
247	140054	424680
248	140538	423872
249	141042	423126
250	141583	422495
251	142114	421832
252	142653	421194
253	143219	420638
254	143755	419991
255	144261	419260
256	144786	418586
257	145248	417730
258	145778	417071
259	146346	416525
260	146886	415897
261	147427	415271
262	147919	414511
263	148456	413877
264	149026	413338
265	149510	412558
266	150028	411875
267	150568	411253
268	151141	410722
269	151627	409956
270	152177	409363
271	152677	408636
272	153191	407949
273	153738	407349
274	154216	406570
275	154763	405974
276	155294	405334
277	155717	404418
278	156211	403687
279	156714	402980
280	157232	402313
281	157779	401721
282	158271	400991
283	158800	400357
284	159357	399792
285	159889	399165
286	160416	398525
287	160995	398016
288	161495	397312
289	161957	396517
290	162477	395865
291	162885	394940
292	163586	394728
293	164064	393978
294	164528	393196
295	165064	392586
296	165680	392166
297	166176	391462
298	166749	390942
299	167208	390152
300	167738	389533
301	168044	388393
302	168598	387831
303	169158	387284
304	169589	386440
305	170090	385759
306	170635	385180
307	171156	384546
308	171555	383640
309	172063	382979
310	172522	382212
